               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10219,            0.018187,                   0,           0.0008046,             0.23729,           0.0006039,          0.00012995,            0.091725,             0.01249,                   0,            0.070769,           0.0032479,           0.0032479
                   1,            0.092709,            0.018691,                   0,          0.00097701,             0.28814,          0.00073952,            0.000154,            0.088323,            0.012347,                   0,            0.040704,            0.006516,            0.006516
                   2,            0.091297,            0.018423,                   0,           0.0038737,            0.016949,           0.0010239,          0.00027981,            0.096866,            0.010907,                   0,            0.010573,           0.0097182,           0.0097182
                   3,            0.089956,            0.018475,                   0,           0.0008046,             0.23729,          0.00070794,          0.00017155,            0.090444,            0.015689,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.088621,            0.018234,                   0,           0.0010345,             0.30508,           0.0015876,          0.00024554,            0.087511,            0.011351,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.086625,            0.018993,                   0,           0.0012644,             0.37288,           0.0071014,           0.0017622,            0.083481,            0.011619,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.084651,            0.019202,                   0,           0.0017816,             0.52542,            0.043066,            0.007569,            0.078245,             0.01197,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.080441,            0.019498,                   0,            0.002069,             0.61017,            0.022099,           0.0062823,            0.075469,            0.011947,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.07783,            0.019529,                   0,            0.002069,             0.61017,            0.013028,           0.0028293,            0.075825,            0.012102,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.075295,            0.020376,                   0,           0.0017241,             0.50847,           0.0028397,          0.00085068,            0.079799,            0.011266,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.073906,            0.019184,                   0,            0.022553,             0.59322,             0.16823,            0.046054,            0.069492,            0.011702,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.071234,            0.019417,                   0,             0.38421,             0.18644,             0.22305,            0.058816,            0.067107,            0.011711,                   0,             0.00901,             0.00901,             0.00901
